facility,equipment,equipment_desription,equipment_type
IND014,IND014-GENL ROUTE,General Routine,General
IND014,34677,"HX, #1 MAC 3RD STAGE INTERCOOLER",InterCooler
IND014,34709,"ANALYZER, AE11",Analyzer
IND014,34710,"ANALYZER, AE12A",Analyzer
IND014,34711,"ANALYZER, AE12B",Analyzer
IND014,34723,"COLDBOX, T875",ColdBox
IND014,34644,"HX, #1 BAC INTERCOOLER",InterCooler
IND014,34712,"ANALYZER, AE14A",Analyzer
IND014,34713,"ANALYZER, AE14A PAM",Analyzer
IND014,34714,"ANALYZER, AE14B",Analyzer
IND014,IND014-PLT1-PROC-CAL.GAS.CYL,"ANALYZER, CALIBRATION GAS CYLINDERS",Analyzer
IND014,167091,"ANALYZER, AE44A CO MONITOR FOR PLANT AREA",Analyzer
IND014,167092,"ANALYZER, AE44B CO MONITOR FOR PLANT AREA",Analyzer
IND014,34562,COOLING TOWER,CoolingTower
IND014,34656,"CHILLER, UNIT #1",Chiller
IND014,34661,"CHILLER, UNIT #2",Chiller
IND014,IND014-CWS,COOLING WATER,CoolingTower
IND014,34593,"TRANSFORMER -33/11KV ,20MVA,TR-1",Transformer
IND014,34595,"TRANSFORMER -11KV/415V ,3MVA,TR-3",Transformer
IND014,34596,"TRANSFORMER -11KV/415V ,3MVA,TR-4",Transformer
IND014,34724,"VAPORIZOR, FADV",Vaporizor
IND014,140946,"MOTOR, FADV",Motor
IND014,34525,"KMAC, HP N2  PIPELINE INSTRUMENTATION",Pipeline
IND014,34704,"COMPUTER, PLANT PROCESS COMPUTERS",Computer
IND014,IND014-GENL-CSS-SA-39-50TIELNE,"INSTRUMENTS, CSS: SA-39-50 MPO2 TIE LINE PORTION AT T1, SAFE O2 DELIVERY",Instruments
IND014,IND014-GENL-CSS-SA-39-7TIELINE,"INSTRUMENTS, CSS: SA-39-7 MPO2 TIE LINE PORTION AT T1, BREAK PREVENTION",Instruments
IND014,34526,"PUMP/MOTOR, HP N2 BACKUP #1",Pump
IND014,34527,"PUMP/MOTOR, HP N2 BACKUP #2",Pump
IND014,34549,"MOTOR, COOLING WATER PUMP #1",Motor
IND014,136160,"PUMP, FIREWATER MAIN",Pump
IND014,34637,"ANALYZER, QAAE1",Analyzer
IND014,34638,"ANALYZER, QAAE3",Analyzer
IND014,34639,"ANALYZER, QAAE5",Analyzer
IND014,34640,"ANALYZER, QAAE6",Analyzer
IND014,34668,"UPS, #1",UPS
IND014,34669,"UPS, #2",UPS
IND014,34705,"ANALYZER, CONDUCTIVITY",Analyzer
IND014,34706,"ANALYZER, ORP",Analyzer
IND014,34707,"ANALYZER, PH",Analyzer
IND014,34708,"ANALYZER, AE1",Analyzer
IND014,34715,"ANALYZER, AE16",Analyzer
IND014,34716,"ANALYZER, AE2",Analyzer
IND014,34717,"ANALYZER, AE3",Analyzer
IND014,34718,"ANALYZER, AE4",Analyzer
IND014,34719,"ANALYZER, AE7",Analyzer
IND014,34720,"ANALYZER, AE8",Analyzer
IND014,34552,"PUMP, #1, COOLING WATER",Pump
IND014,IND014-GENL-CSS-SA-39-11,"INSTRUMENTS, CSS: SA-39-11-PET/AREA ISOLATION DEVICES",Instruments
IND014,34695,"BED#1, PREPURIFIER",Prepurifier
IND014,34696,"BED#2, PREPURIFIER",Prepurifier
IND014,34725,"INSTRUMENT, COLDBOX INSTRUMENTATION",Instruments
IND014,34672,"COMPRESSOR, #2 MAC",Compressor
IND014,184621,"PUMP, AUX.LUBE OIL MNC",Pump
IND014,184624,"MOTOR, AUX.OIL PUMP MAC1",Motor
IND014,184626,"PUMP,AUX. OIL PUMP MAC2",Pump
IND014,184627,"MOTOR,AUX. OIL PUMP MAC2",Motor
IND014,34671,"COMPRESSOR, #1 MAC",Compressor
IND014,34690,"PUMP, AUX.OIL PUMP MAC1",Pump
IND014,34574,"BREAKER, 11KV UNIT 14, FEED TO MAC#1",Breaker
IND014,34692,"MOTOR,#1 MAC",Motor
IND014,34693,"MOTOR,#2 MAC",Motor
IND014,34553,"PUMP, #2, COOLING WATER",Pump
IND014,34554,"PUMP, #3, COOLING WATER",Pump
IND014,34603,"HX,  BNC 1ST STAGE INTERCOOLER",InterCooler
IND014,34604,"HX,  BNC 2ND  STAGE INTERCOOLER",InterCooler
IND014,34610,"HX,  MNC 2ND STAGE INTERCOOLER",InterCooler
IND014,34675,"HX, #1 MAC 1ST STAGE INTERCOOLER",InterCooler
IND014,34684,"HX, #2 MAC 1ST STAGE INTERCOOLER",InterCooler
IND014,34570,"BREAKER, 33KV  UNIT 05, FEED  TP 30MVA TRANSFORMER",Transformer
IND014,34577,"BREAKER, 11KV UNIT 19, FEED TO MCC1 SECTION B",Breaker
IND014,34608,"COMPRESSOR,  MAIN NITROGEN",Compressor
IND014,IND014-PLT1-CHLR,CHILLER,Chiller
IND014,34654,"PUMP, #1  CHILLED WATER",Pump
IND014,34591,"SWITCHGEAR, 33KV",SwitchGear
IND014,34592,"SWITCHGEAR, 11KV",SwitchGear
IND014,34594,"TRANSFORMER -33/11KV ,20MVA,TR-2",Transformer
IND014,34609,"HX, MNC 1ST STAGE INTERCOOLER",InterCooler
IND014,34615,"INSTRUMENT, PIPELINE INSTRUMENTATION FOR N2",Instruments
IND014,34648,"HX, #2 BAC INTERCOOLER",InterCooler
IND014,34676,"HX, #1MAC 2ND STAGE INTERCOOLER",InterCooler
IND014,36115,"INSTRUMENT,PANEL IN  CONTROL ROOM, DRIOX & ANAL ROOM",Instruments
IND014,IND014-GENL-ROUTE,GENERAL ROUTE,General
IND014,IND014-PLT1-PP,PREPURIFIER,Prepurifier
IND014,34578,"BREAKER, 11KV UNIT 20, FEED TO MNC",Breaker
IND014,34600,"VALVE, MANUAL LIST",Valve
IND014,IND014-UTIL-FIREQUIP-INST,IND014-UTIL-FIREQUIP-INST,General
IND014,34602,IND018-BU-AR-PLN.INST.LIST,General
IND014,34685,IND018-GN2-PLNMP-INSTLIST,General
IND014,34686,IND018-GO2-PLNHP-INSTLIST,General
IND014,34555,IND018-GO2-PLNMP-INSTLIST,General
IND014,34556,IND018-PLT2-MAC.1-INST.ASFH,General
IND014,34564,IND018-PLT2-MAC.2-INST.ASFH,General
IND014,34734,IND018-GENL-VALVE-PRVLIST.STAT,General
IND014,106927,IND018-GENL-ROUTE-IR,General
IND014,106928,"VAPORIZER, MP N2 BACKUP PMP PRIME POT HV1736",Vaporizor
IND014,106929,"VAPORIZER, O2 BACKUP PMP PRIME POT HV1635",Vaporizor
IND014,106930,"VAPORIZER, O2 TRUCK FILL PMP PRIME POT HV1638",Vaporizor
IND014,136164,"PUMP, FIREWATER EMERGENCY",Pump
IND014,34655,"PUMP, #2 CHILLED WATER",Pump
IND014,34534,"VAPORIZER, HP NITROGEN AMBIENT ( 6NOS)",Vaporizor
IND014,34547,"VAPORIZER,  OXYGEN AMBIENT  (16 NOS)",Vaporizor
IND014,34697,"FILTER, PREPURIFIER DUST",Filter
IND014,IND014-GENL-INST,INSTRUMENTATION-GENERAL,Instruments
IND014,34523,"VAPORIZER, AR AMBIENT ( 2 NOS)",Vaporizor
IND014,34613,"MOTOR, #1 MAIN NITROGEN COMPRESSOR",Motor
IND014,34575,"BREAKER, 11KV UNIT 15, FEED TO MCC1 SECTION A",Breaker
IND014,34579,"BREAKER, 11KV UNIT 21,FEED TO MAC#2",Breaker
IND014,34557,"FILTER, COOLING WATER SIDE STREAM",Filter
IND014,184622,"MOTOR, AUX.LUBE OIL MNC",Motor
IND014,34561,"TANK, ACID",Tank
IND014,156634,"MOTOR,#1 N2 BACKUP VAP BLOWER",Motor
IND014,156635,"MOTOR,#2 N2 BACKUP VAP BLOWER",Motor
IND014,156636,"MOTOR,#3 N2 BACKUP VAP BLOWER",Motor
IND014,34597,"AUTOTRANSFORMER,8MVA FOR MAC/BAC-1",Transformer
IND014,34598,"AUTOTRANSFORMER,8MVA FOR MAC/BAC-2",Transformer
IND014,136165,"ENGINE, FIREWATER EMERGENCY PUMP",Engine
IND014,136162,"PUMP, FIREWATER JOCKEY",Pump
IND014,34674,"FILTER, ASFH #1",Filter
IND014,136163,"MOTOR, FIREWATER JOCKEY PUMP",Motor
IND014,34551,"MOTOR, COOLING WATER PUMP #3",Motor
IND014,34568,"BREAKER, 33KV  UNIT 04,BUS COUPLER",Breaker
IND014,34616,"PIPELINE, GN2",Pipeline
IND014,34618,"PIPELINE, GO2",Pipeline
IND014,34536,"PUMP/MOTOR, MP LN2 BACKUP",Pump/Motor
IND014,34541,"PUMP/MOTOR, LOX BACKUP #1",Pump/Motor
IND014,34542,"PUMP/MOTOR, LOX BACKUP #2",Pump/Motor
IND014,34628,"PUMP/MOTOR, #1 O2 TRUCKFILL",Pump/Motor
IND014,34666,"MOTOR, #1 CHILLED WATER PUMP",Motor
IND014,34726,"PUMP/MOTOR,#1 O2 PROCESS PUMP",Pump/Motor
IND014,34728,"PUMP/MOTOR,#2 O2 PROCESS PUMP",Pump/Motor
IND014,IND014-GENL,GENERAL,General
IND014,34634,"HOSE,LO2,TRUCKFILL",Hose
IND014,34632,"HOSE, LAR, TRUCKFILL",Hose
IND014,34633,"HOSE,LN2,TRUCKFILL",Hose
IND014,34667,"MOTOR, #2 CHILLED WATER PUMP",Motor
IND014,34721,"PUMP/MOTOR, AR PROCESS PUMP",Pump/Motor
IND014,34584,"MCC, #3",General
IND014,34735,"KMAC, INSTRUMENT GAS",Instruments
IND014,34516,"KMAC, ARGON  PIPELINE INSTRUMENTATION",Instruments
IND014,34535,"KMAC, MP N2  PIPELINE INSTRUMENTATION",Instruments
IND014,34540,"KMAC, OXYGEN  PIPELINE INSTRUMENTATION",Instruments
IND014,34607,"LUBE, #1 MNC, LUBRICATION EQUIPMENT( INCLUDES BNC)",Lube
IND014,34691,"LUBE,#2 MAC LUBRICATION EQUIPMENT",Lube
IND014,34731,"LUBE, TURBINE LOWER COLUMN",Turbine
IND014,34641,"SCALE, #1 TRUCKFILL",General
IND014,34736,"KMAC, INSTRUMENT GAS",Instruments
IND014,34565,"BREAKER, 33KV  UNIT 01,  INCOMER#1 FROM T1",Instruments
IND014,34550,"MOTOR, COOLING WATER PUMP #2",Motor
