name,type,equipment,frequency,day_of_week,fortnite,month,day_of_month,start_date,end_date,assigned_to,start_hour,end_hour,description
Prime Pot Drains (Drain Valve) Inspection,Schedule,"106927 - VAPORIZER, HP N2 BACKUP PMP PRIME POT HV1735",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0275-09
Prime Pot Drains (Drain Valve) Inspection,Schedule,"106928 - VAPORIZER, MP N2 BACKUP PMP PRIME POT HV1736",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0275-09
Prime Pot Drains (Drain Valve) Inspection,Schedule,"106929 - VAPORIZER, O2 BACKUP PMP PRIME POT HV1635",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0275-09
Prime Pot Drains (Drain Valve) Inspection,Schedule,"106930 - VAPORIZER, O2 TRUCK FILL PMP PRIME POT HV1638",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0275-09
Oil Change - machinery with less than 20 gallon sump,Schedule,"136160 - PUMP, FIREWATER MAIN",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0278-09
General Service Coupling Inspection,Schedule,"136160 - PUMP, FIREWATER MAIN",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0218-09
ANNUAL INSPECTION OF FIREWATER EQUIPMENT,Schedule,"136160 - PUMP, FIREWATER MAIN",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,ACMS-7035-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"136161 - MOTOR, FIREWATER MAIN PUMP",Quarterly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
"Motors, Random Wound – Major Maintenance",Schedule,"136161 - MOTOR, FIREWATER MAIN PUMP",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
ANNUAL INSPECTION OF FIREWATER EQUIPMENT,Schedule,"136162 - PUMP, FIREWATER JOCKEY",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,ACMS-7035-09
General Service Coupling Inspection,Schedule,"136162 - PUMP, FIREWATER JOCKEY",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0218-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"136163 - MOTOR, FIREWATER JOCKEY PUMP",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
"Motors, Random Wound – Major Maintenance",Schedule,"136163 - MOTOR, FIREWATER JOCKEY PUMP",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
ANNUAL INSPECTION OF FIREWATER EQUIPMENT,Schedule,"136164 - PUMP, FIREWATER EMERGENCY",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,ACMS-7035-09
Oil replacement in Fire water pump diesel engine driven gear box,Schedule,"136164 - PUMP, FIREWATER EMERGENCY",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-135-09
Oil Change - machinery with less than 20 gallon sump,Schedule,"136164 - PUMP, FIREWATER EMERGENCY",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0278-09
General Service Coupling Inspection,Schedule,"136164 - PUMP, FIREWATER EMERGENCY",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0218-09
ANNUAL INSPECTION OF FIREWATER EQUIPMENT,Schedule,"136165 - ENGINE, FIREWATER EMERGENCY PUMP",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,ACMS-7035-09
Rolling Element Bearing Regreasing Route,Schedule,"140946 - MOTOR, FADV",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0024-09
Rolling Element Bearing Regreasing Route,Schedule,"140947 - FAN, FADV",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0024-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"156634 - MOTOR,#1 N2 BACKUP VAP BLOWER",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
"Motors, Random Wound – Major Maintenance",Schedule,"156634 - MOTOR,#1 N2 BACKUP VAP BLOWER",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"156635 - MOTOR,#2 N2 BACKUP VAP BLOWER",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
