first_name,last_name,email
*MECH-TATA,TATA,*MECH-TATA
*ELEC-TATA,TATA,*ELEC-TATA
*INST-TATA,TATA,*INST-TATA
*PROD-TATA,TATA,*PROD-TATA
INDUMEKAV1,TATA,INDUMEKAV1
*PM-TATA,TATA,*PM-TATA
*SC-TATA,TATA,*SC-TATA
INDJSEBXG2,TATA,INDJSEBXG2
INDJSESXS2,TATA,INDJSESXS2
INDJSEAXD1,TATA,INDJSEAXD1
Mech,TATA,Mech
INDJSEXCD1,TATA,INDJSEXCD1
INDSRERXS1,TATA,INDSRERXS1
INDJSESXM5,TATA,INDJSESXM5
INDJSETKS1,TATA,INDJSETKS1
INDJSEKXG1,TATA,INDJSEKXG1
INDJSESXM1,TATA,INDJSESXM1
INDJSEXCD5,TATA,INDJSEXCD5
INDJSEMXS1,TATA,INDJSEMXS1
INDJSEPXD1,TATA,INDJSEPXD1
INDJSEBXG1,TATA,INDJSEBXG1
INDJSESXD1,TATA,INDJSESXD1
INDJSEJXH1,TATA,INDJSEJXH1
INDJSEAXC1,TATA,INDJSEAXC1
INDKAENXM2,TATA,INDKAENXM2
INDJSEBXM1,TATA,INDJSEBXM1
INDJSEPXM1,TATA,INDJSEPXM1
INDUMESSU1,TATA,INDUMESSU1
INDJSETXG1,TATA,INDJSETXG1
